Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCF_030757815.1	Streptomyces sp. MK5	MK5	8818037	156406	6296137	71.5
GCA_030757815.1	Streptomyces sp. MK5	MK5	8818037	156406	6296137	71.5
GCF_032658145.1	Streptomyces sp. MK7	MK7	8890266	158759	6346774	71.5
GCA_032658145.1	Streptomyces sp. MK7	MK7	8890266	158759	6346774	71.5
GCF_030116705.1	Streptomyces sp. ML-6	ML-6	9126325	7783431	6528593	71.5
GCA_030116705.1	Streptomyces sp. ML-6	ML-6	9126325	7783431	6528593	71.5
GCA_016893585.2	Streptomyces sp. ML1-2	ML1-2	7235919	5019342	5223767	72
GCA_016893525.2	Streptomyces sp. ML2-9	ML2-9	7460352	7133573	5415419	72.5
GCF_028622875.1	Streptomyces sp. MMBL 11-1	MMBL 11-1	8496900	8003288	6085080	71.5
GCA_028622875.1	Streptomyces sp. MMBL 11-1	MMBL 11-1	8496900	8003288	6085080	71.5
GCF_041538145.1	Streptomyces sp. MMCC 100	MMCC 100	8315980	283582	5958281	71.5
GCA_041538145.1	Streptomyces sp. MMCC 100	MMCC 100	8315980	283582	5958281	71.5
GCF_001279965.1	Streptomyces sp. MMG1064	MMG1064	8128098	119376	5889038	72.5
GCA_001279965.1	Streptomyces sp. MMG1064	MMG1064	8128098	119376	5889038	72.5
GCF_001280015.1	Streptomyces sp. MMG1121	MMG1121	9453902	150870	6736061	71.5
GCA_001280015.1	Streptomyces sp. MMG1121	MMG1121	9453902	150870	6736061	71.5
GCF_001279735.1	Streptomyces sp. MMG1522	MMG1522	7953758	111333	5775227	72.5
GCA_001279735.1	Streptomyces sp. MMG1522	MMG1522	7953758	111333	5775227	72.5
GCF_001279775.1	Streptomyces sp. MMG1533	MMG1533	10362086	98746	7310526	70.5
GCA_001279775.1	Streptomyces sp. MMG1533	MMG1533	10362086	98746	7310526	70.5
GCF_022748185.1	Streptomyces sp. MMS20-AI2-20	MMS20-AI2-20	7627663	6482099	5529941	72.5
GCA_022748185.1	Streptomyces sp. MMS20-AI2-20	MMS20-AI2-20	7627663	6482099	5529941	72.5
GCF_022747965.1	Streptomyces sp. MMS21 TC-5	MMS21 TC-5	8561397	3186437	6190252	72.5
GCA_022747965.1	Streptomyces sp. MMS21 TC-5	MMS21 TC-5	8561397	3186437	6190252	72.5
GCF_900091995.1	Streptomyces sp. MnatMP-M17	MnatMP-M17	8137273	9389	5650993	69.5
GCA_900091995.1	Streptomyces sp. MnatMP-M17	MnatMP-M17	8137273	9389	5650993	69.5
GCF_900092015.1	Streptomyces sp. MnatMP-M27	MnatMP-M27	10886035	8252	7708927	71
GCA_900092015.1	Streptomyces sp. MnatMP-M27	MnatMP-M27	10886035	8252	7708927	71
GCF_900090075.1	Streptomyces sp. MnatMP-M77	MnatMP-M77	8648704	404947	6243704	72
GCA_900090075.1	Streptomyces sp. MnatMP-M77	MnatMP-M77	8648704	404947	6243704	72
GCF_013177615.1	Streptomyces sp. MNP-20	MNP-20	10568097	147764	7690402	73
GCA_013177615.1	Streptomyces sp. MNP-20	MNP-20	10568097	147764	7690402	73
GCF_020982485.1	Streptomyces sp. MNU103	MNU103	7653178	7202441	5550098	72.5
GCA_020982485.1	Streptomyces sp. MNU103	MNU103	7653178	7202441	5550098	72.5
GCF_020982545.1	Streptomyces sp. MNU76	MNU76	10497705	553954	7434500	71
GCA_020982545.1	Streptomyces sp. MNU76	MNU76	10497705	553954	7434500	71
GCF_000935135.2	Streptomyces sp. MNU77	MNU77	8868350	8219841	6358782	71.5
GCA_000935135.2	Streptomyces sp. MNU77	MNU77	8868350	8219841	6358782	71.5
GCF_020982505.1	Streptomyces sp. MNU89	MNU89	7048881	7047439	5143084	73
GCA_020982505.1	Streptomyces sp. MNU89	MNU89	7048881	7047439	5143084	73
GCF_002090335.1	Streptomyces sp. MOE7	MOE7	8399509	8399509	6047051	72
GCA_002090335.1	Streptomyces sp. MOE7	MOE7	8399509	8399509	6047051	72
GCF_001984575.1	Streptomyces sp. MP131-18	MP131-18	7956642	213184	5655377	72.5
GCA_001984575.1	Streptomyces sp. MP131-18	MP131-18	7956642	213184	5655377	72.5
GCF_023614235.1	Streptomyces sp. MRC013	MRC013	5331980	5331980	3951605	74
GCA_023614235.1	Streptomyces sp. MRC013	MRC013	5331980	5331980	3951605	74
GCA_037860595.1	Streptomyces sp. MS1.AVA.1	MS1.AVA.1	9419317	9329654	6644341	70.5
GCF_037892445.1	Streptomyces sp. MS1.AVA.3	MS1.AVA.3	9832851	2302348	6945832	70.5
GCA_037892445.1	Streptomyces sp. MS1.AVA.3	MS1.AVA.3	9832851	2302348	6945832	70.5
GCF_037860615.1	Streptomyces sp. MS1.AVA.4	MS1.AVA.4	8612119	8456076	6096684	71
GCA_037860615.1	Streptomyces sp. MS1.AVA.4	MS1.AVA.4	8612119	8456076	6096684	71
GCA_037892385.1	Streptomyces sp. MS1.HAVA.3	MS1.HAVA.3	8849353	7431408	6353273	72
GCF_002551345.1	Streptomyces sp. ms115	ms115	7498588	83606	5379518	71.5
GCA_002551345.1	Streptomyces sp. ms115	ms115	7498588	83606	5379518	71.5
GCF_002551335.1	Streptomyces sp. ms184	ms184	7855502	15476	5630791	71.5
GCA_002551335.1	Streptomyces sp. ms184	ms184	7855502	15476	5630791	71.5
GCF_008042125.1	Streptomyces sp. ms191	ms191	7789500	29041	5628212	72.5
GCA_008042125.1	Streptomyces sp. ms191	ms191	7789500	29041	5628212	72.5
GCF_037892235.1	Streptomyces sp. MS2.AVA.5	MS2.AVA.5	9630876	8403191	6745330	70
GCA_037892235.1	Streptomyces sp. MS2.AVA.5	MS2.AVA.5	9630876	8403191	6745330	70
GCF_023667545.1	Streptomyces sp. MSC1_001	MSC1_001	7903566	26602	5705952	72
GCA_023667545.1	Streptomyces sp. MSC1_001	MSC1_001	7903566	26602	5705952	72
GCF_000373585.1	Streptomyces sp. MspMP-M5	MspMP-M5	8596663	159541	6177543	72
GCA_000373585.1	Streptomyces sp. MspMP-M5	MspMP-M5	8596663	159541	6177543	72
GCF_022695595.1	Streptomyces sp. MST-110588	MST-110588	7915503	7915503	5656301	71.5
GCA_022695595.1	Streptomyces sp. MST-110588	MST-110588	7915503	7915503	5656301	71.5
GCF_036665955.1	Streptomyces sp. MT206	MT206	9190634	62207	6629190	72
GCA_036665955.1	Streptomyces sp. MT206	MT206	9190634	62207	6629190	72
GCA_021261405.1	Streptomyces sp. MT29	MT29	8537342	79195	6073707	71.5
GCF_022414635.1	Streptomyces sp. MUM 136J	MUM 136J	7180176	100013	5192465	72.5
GCA_022414635.1	Streptomyces sp. MUM 136J	MUM 136J	7180176	100013	5192465	72.5
GCF_022414615.1	Streptomyces sp. MUM 16J	MUM 16J	7671699	164408	5374223	70
GCA_022414615.1	Streptomyces sp. MUM 16J	MUM 16J	7671699	164408	5374223	70
GCF_022414575.2	Streptomyces sp. MUM 178J	MUM 178J	6699249	6699249	4773392	71.5
GCA_022414575.2	Streptomyces sp. MUM 178J	MUM 178J	6699249	6699249	4773392	71.5
GCF_022414595.1	Streptomyces sp. MUM 203J	MUM 203J	6446886	84552	4658687	72.5
GCA_022414595.1	Streptomyces sp. MUM 203J	MUM 203J	6446886	84552	4658687	72.5
GCF_022414535.1	Streptomyces sp. MUM 2J	MUM 2J	7342207	127370	5304046	72
GCA_022414535.1	Streptomyces sp. MUM 2J	MUM 2J	7342207	127370	5304046	72
GCF_000816485.1	Streptomyces sp. MUSC 125	MUSC 125	7656461	139282	5361317	70
GCA_000816485.1	Streptomyces sp. MUSC 125	MUSC 125	7656461	139282	5361317	70
GCF_001866675.1	Streptomyces sp. MUSC 14	MUSC 14	10274825	162032	7325793	71.5
GCA_001866675.1	Streptomyces sp. MUSC 14	MUSC 14	10274825	162032	7325793	71.5
GCF_019203225.1	Streptomyces sp. MW-W600-10	MW-W600-10	8432369	5533251	6046157	71.5
GCA_019203225.1	Streptomyces sp. MW-W600-10	MW-W600-10	8432369	5533251	6046157	71.5
GCF_004684775.1	Streptomyces sp. MZ04	MZ04	9110019	25361	6396291	70
GCA_004684775.1	Streptomyces sp. MZ04	MZ04	9110019	25361	6396291	70
GCF_004124335.1	Streptomyces sp. N1	N1	7207104	7006672	5280718	73.5
GCA_004124335.1	Streptomyces sp. N1	N1	7207104	7006672	5280718	73.5
GCF_963454945.1	Streptomyces sp. N2A		8992029	102702	6425913	71.5
GCA_963454945.1	Streptomyces sp. N2A		8992029	102702	6425913	71.5
GCF_016464295.1	Streptomyces sp. N35	N35	9315014	30263	6556093	70.5
GCA_016464295.1	Streptomyces sp. N35	N35	9315014	30263	6556093	70.5
GCF_033335955.1	Streptomyces sp. N50	N50	11551937	10079986	8106887	70
GCA_033335955.1	Streptomyces sp. N50	N50	11551937	10079986	8106887	70
GCF_013010335.1	Streptomyces sp. N502	N502	9386052	200126	6644521	71
GCA_013010335.1	Streptomyces sp. N502	N502	9386052	200126	6644521	71
GCF_013364175.1	Streptomyces sp. NA02536	NA02536	7707218	7707218	5566949	72
GCA_013364175.1	Streptomyces sp. NA02536	NA02536	7707218	7707218	5566949	72
GCF_013364155.1	Streptomyces sp. NA02950	NA02950	9771669	9619720	6943015	71
GCA_013364155.1	Streptomyces sp. NA02950	NA02950	9771669	9619720	6943015	71
GCF_013364375.1	Streptomyces sp. NA03103	NA03103	8359435	8088762	6029252	72
GCA_013364375.1	Streptomyces sp. NA03103	NA03103	8359435	8088762	6029252	72
GCF_013364195.1	Streptomyces sp. NA04227	NA04227	7894562	7894562	5590767	71
GCA_013364195.1	Streptomyces sp. NA04227	NA04227	7894562	7894562	5590767	71
GCF_030122705.1	Streptomyces sp. NA07423	NA07423	11519256	11519256	8185254	71
GCA_030122705.1	Streptomyces sp. NA07423	NA07423	11519256	11519256	8185254	71
GCF_026626005.1	Streptomyces sp. NA13	NA13	7099980	6913849	5205693	73.5
GCA_026626005.1	Streptomyces sp. NA13	NA13	7099980	6913849	5205693	73.5
GCF_026343795.1	Streptomyces sp. NBC_00006	NBC_00006	10183688	9082909	7171541	70.5
GCA_026343795.1	Streptomyces sp. NBC_00006	NBC_00006	10183688	9082909	7171541	70.5
GCF_026343635.1	Streptomyces sp. NBC_00038	NBC_00038	10690590	9618682	7466499	70
GCA_026343635.1	Streptomyces sp. NBC_00038	NBC_00038	10690590	9618682	7466499	70
GCF_026343545.1	Streptomyces sp. NBC_00047	NBC_00047	8794166	4771666	6273272	71.5
GCA_026343545.1	Streptomyces sp. NBC_00047	NBC_00047	8794166	4771666	6273272	71.5
GCF_026343535.1	Streptomyces sp. NBC_00051	NBC_00051	10137601	9038899	7149335	70.5
GCA_026343535.1	Streptomyces sp. NBC_00051	NBC_00051	10137601	9038899	7149335	70.5
GCF_026343435.1	Streptomyces sp. NBC_00052	NBC_00052	10019915	9040970	7070242	70.5
GCA_026343435.1	Streptomyces sp. NBC_00052	NBC_00052	10019915	9040970	7070242	70.5
GCF_036010645.1	Streptomyces sp. NBC_00053	NBC_00053	10076411	9039762	7108511	70.5
GCA_036010645.1	Streptomyces sp. NBC_00053	NBC_00053	10076411	9039762	7108511	70.5
GCF_026343385.1	Streptomyces sp. NBC_00059	NBC_00059	9160659	5504813	6508193	71
GCA_026343385.1	Streptomyces sp. NBC_00059	NBC_00059	9160659	5504813	6508193	71
GCF_026343375.1	Streptomyces sp. NBC_00062	NBC_00062	10221853	9242692	7206680	70.5
GCA_026343375.1	Streptomyces sp. NBC_00062	NBC_00062	10221853	9242692	7206680	70.5
GCF_026343345.1	Streptomyces sp. NBC_00063	NBC_00063	10529089	7305210	7403100	70.5
GCA_026343345.1	Streptomyces sp. NBC_00063	NBC_00063	10529089	7305210	7403100	70.5
GCF_026343335.1	Streptomyces sp. NBC_00078	NBC_00078	9330118	9100912	6545809	70
GCA_026343335.1	Streptomyces sp. NBC_00078	NBC_00078	9330118	9100912	6545809	70
GCF_026343295.1	Streptomyces sp. NBC_00083	NBC_00083	7835074	1753520	5627464	72
GCA_026343295.1	Streptomyces sp. NBC_00083	NBC_00083	7835074	1753520	5627464	72
GCF_026343255.1	Streptomyces sp. NBC_00086	NBC_00086	9003434	8201009	6457020	71.5
GCA_026343255.1	Streptomyces sp. NBC_00086	NBC_00086	9003434	8201009	6457020	71.5
GCF_026343185.1	Streptomyces sp. NBC_00091	NBC_00091	7872703	6020917	5691354	72.5
GCA_026343185.1	Streptomyces sp. NBC_00091	NBC_00091	7872703	6020917	5691354	72.5
GCF_026343125.1	Streptomyces sp. NBC_00094	NBC_00094	8191559	8133934	5877821	72
GCA_026343125.1	Streptomyces sp. NBC_00094	NBC_00094	8191559	8133934	5877821	72
GCF_026343115.1	Streptomyces sp. NBC_00102	NBC_00102	8602176	6313845	6144767	71.5
GCA_026343115.1	Streptomyces sp. NBC_00102	NBC_00102	8602176	6313845	6144767	71.5
GCF_026343035.1	Streptomyces sp. NBC_00103	NBC_00103	8649556	2093437	6173746	71.5
GCA_026343035.1	Streptomyces sp. NBC_00103	NBC_00103	8649556	2093437	6173746	71.5
GCF_026343055.1	Streptomyces sp. NBC_00120	NBC_00120	11093703	2713641	7770531	70
GCA_026343055.1	Streptomyces sp. NBC_00120	NBC_00120	11093703	2713641	7770531	70
GCF_026342945.1	Streptomyces sp. NBC_00124	NBC_00124	11691668	11478318	8199049	70
GCA_026342945.1	Streptomyces sp. NBC_00124	NBC_00124	11691668	11478318	8199049	70
GCF_026342975.1	Streptomyces sp. NBC_00140	NBC_00140	12081447	8798685	8469818	70
GCA_026342975.1	Streptomyces sp. NBC_00140	NBC_00140	12081447	8798685	8469818	70
GCF_036010605.1	Streptomyces sp. NBC_00145	NBC_00145	11051430	11051430	7734281	70
GCA_036010605.1	Streptomyces sp. NBC_00145	NBC_00145	11051430	11051430	7734281	70
GCF_035917215.1	Streptomyces sp. NBC_00151	NBC_00151	10670226	10670226	7519103	70.5
GCA_035917215.1	Streptomyces sp. NBC_00151	NBC_00151	10670226	10670226	7519103	70.5
GCF_026342835.1	Streptomyces sp. NBC_00154	NBC_00154	10389492	8016355	7198930	69.5
GCA_026342835.1	Streptomyces sp. NBC_00154	NBC_00154	10389492	8016355	7198930	69.5
GCF_026342795.1	Streptomyces sp. NBC_00160	NBC_00160	8606428	7243817	6186381	72
GCA_026342795.1	Streptomyces sp. NBC_00160	NBC_00160	8606428	7243817	6186381	72
GCF_024611995.1	Streptomyces sp. NBC_00162	NBC_00162	9023989	8635149	6428598	71
GCA_024611995.1	Streptomyces sp. NBC_00162	NBC00162	9023989	8635149	6428598	71
GCF_036206005.1	Streptomyces sp. NBC_00178	NBC_00178	7379407	7317043	5269531	71.5
GCA_036206005.1	Streptomyces sp. NBC_00178	NBC_00178	7379407	7317043	5269531	71.5
GCF_026342695.1	Streptomyces sp. NBC_00183	NBC_00183	9751041	5197028	6854948	70.5
GCA_026342695.1	Streptomyces sp. NBC_00183	NBC_00183	9751041	5197028	6854948	70.5
GCF_036205185.1	Streptomyces sp. NBC_00184	NBC_00184	8400290	7406041	5942822	70.5
GCA_036205185.1	Streptomyces sp. NBC_00184	NBC_00184	8400290	7406041	5942822	70.5
GCF_036203305.1	Streptomyces sp. NBC_00190	NBC_00190	8893931	8633858	6354421	71.5
GCA_036203305.1	Streptomyces sp. NBC_00190	NBC_00190	8893931	8633858	6354421	71.5
GCF_026342735.1	Streptomyces sp. NBC_00193	NBC_00193	7998463	6245877	5750636	72
GCA_026342735.1	Streptomyces sp. NBC_00193	NBC_00193	7998463	6245877	5750636	72
GCF_026342575.1	Streptomyces sp. NBC_00198	NBC_00198	9114783	3790464	6513122	71.5
GCA_026342575.1	Streptomyces sp. NBC_00198	NBC_00198	9114783	3790464	6513122	71.5
GCF_026342605.1	Streptomyces sp. NBC_00199	NBC_00199	9104293	510514	6519015	71.5
GCA_026342605.1	Streptomyces sp. NBC_00199	NBC_00199	9104293	510514	6519015	71.5
GCF_026342595.1	Streptomyces sp. NBC_00201	NBC_00201	10177092	9422302	7150339	70.5
GCA_026342595.1	Streptomyces sp. NBC_00201	NBC_00201	10177092	9422302	7150339	70.5
GCF_036201705.1	Streptomyces sp. NBC_00208	NBC_00208	9856051	9856051	6848068	69.5
GCA_036201705.1	Streptomyces sp. NBC_00208	NBC_00208	9856051	9856051	6848068	69.5
GCF_036199905.1	Streptomyces sp. NBC_00223	NBC_00223	7961474	7961474	5712548	72
GCA_036199905.1	Streptomyces sp. NBC_00223	NBC_00223	7961474	7961474	5712548	72
GCF_041435195.1	Streptomyces sp. NBC_00224	NBC_00224	9182200	8912376	6522002	71
GCA_041435195.1	Streptomyces sp. NBC_00224	NBC_00224	9182200	8912376	6522002	71
GCF_036196325.1	Streptomyces sp. NBC_00228	NBC_00228	10117404	10117404	7141934	70.5
GCA_036196325.1	Streptomyces sp. NBC_00228	NBC_00228	10117404	10117404	7141934	70.5
GCF_026342495.1	Streptomyces sp. NBC_00233	NBC_00233	10314919	7636548	7355123	71.5
GCA_026342495.1	Streptomyces sp. NBC_00233	NBC_00233	10314919	7636548	7355123	71.5
GCF_036195325.1	Streptomyces sp. NBC_00234	NBC_00234	8274316	8274316	5841262	70.5
GCA_036195325.1	Streptomyces sp. NBC_00234	NBC_00234	8274316	8274316	5841262	70.5
GCF_036195045.1	Streptomyces sp. NBC_00236	NBC_00236	8333111	8333111	5902615	71
GCA_036195045.1	Streptomyces sp. NBC_00236	NBC_00236	8333111	8333111	5902615	71
GCF_026342435.1	Streptomyces sp. NBC_00237	NBC_00237	9205340	2935418	6511115	70.5
GCA_026342435.1	Streptomyces sp. NBC_00237	NBC_00237	9205340	2935418	6511115	70.5
GCF_036194065.1	Streptomyces sp. NBC_00239	NBC_00239	9315054	8511476	6728892	72
GCA_036194065.1	Streptomyces sp. NBC_00239	NBC_00239	9315054	8511476	6728892	72
GCF_035917175.1	Streptomyces sp. NBC_00243	NBC_00243	10658643	10658643	7436766	70
GCA_035917175.1	Streptomyces sp. NBC_00243	NBC_00243	10658643	10658643	7436766	70
GCF_036188265.1	Streptomyces sp. NBC_00247	NBC_00247	7336920	7336920	5253105	71.5
GCA_036188265.1	Streptomyces sp. NBC_00247	NBC_00247	7336920	7336920	5253105	71.5
GCF_026342355.1	Streptomyces sp. NBC_00249	NBC_00249	8610968	721553	6236881	72.5
GCA_026342355.1	Streptomyces sp. NBC_00249	NBC_00249	8610968	721553	6236881	72.5
GCF_036192275.1	Streptomyces sp. NBC_00250	NBC_00250	9270399	9158577	6630786	71.5
GCA_036192275.1	Streptomyces sp. NBC_00250	NBC_00250	9270399	9158577	6630786	71.5
GCF_036187565.1	Streptomyces sp. NBC_00252	NBC_00252	10137727	10137727	7157185	70.5
GCA_036187565.1	Streptomyces sp. NBC_00252	NBC_00252	10137727	10137727	7157185	70.5
GCF_036183285.1	Streptomyces sp. NBC_00257	NBC_00257	9470289	9024940	6681648	70.5
GCA_036183285.1	Streptomyces sp. NBC_00257	NBC_00257	9470289	9024940	6681648	70.5
GCF_036182465.1	Streptomyces sp. NBC_00258	NBC_00258	12223696	12223696	8546262	70
GCA_036182465.1	Streptomyces sp. NBC_00258	NBC_00258	12223696	12223696	8546262	70
GCF_036181745.1	Streptomyces sp. NBC_00259	NBC_00259	8164743	8164743	5789904	71
GCA_036181745.1	Streptomyces sp. NBC_00259	NBC_00259	8164743	8164743	5789904	71
GCF_026342365.1	Streptomyces sp. NBC_00264	NBC_00264	10241172	9061851	7222682	70.5
GCA_026342365.1	Streptomyces sp. NBC_00264	NBC_00264	10241172	9061851	7222682	70.5
GCF_036180305.1	Streptomyces sp. NBC_00267	NBC_00267	9241071	9196834	6587275	71.5
GCA_036180305.1	Streptomyces sp. NBC_00267	NBC_00267	9241071	9196834	6587275	71.5
GCF_026342335.1	Streptomyces sp. NBC_00268	NBC_00268	13155526	11684238	9176987	70
GCA_026342335.1	Streptomyces sp. NBC_00268	NBC_00268	13155526	11684238	9176987	70
GCF_036178905.1	Streptomyces sp. NBC_00269	NBC_00269	10967080	10967080	7677102	70
GCA_036178905.1	Streptomyces sp. NBC_00269	NBC_00269	10967080	10967080	7677102	70
GCF_036178845.1	Streptomyces sp. NBC_00271	NBC_00271	12278258	11932113	8601927	70
GCA_036178845.1	Streptomyces sp. NBC_00271	NBC_00271	12278258	11932113	8601927	70
GCF_036178565.1	Streptomyces sp. NBC_00272	NBC_00272	9157283	8667553	6558145	71.5
GCA_036178565.1	Streptomyces sp. NBC_00272	NBC_00272	9157283	8667553	6558145	71.5
GCF_036178145.1	Streptomyces sp. NBC_00273	NBC_00273	10316149	10316149	7360799	71.5
GCA_036178145.1	Streptomyces sp. NBC_00273	NBC_00273	10316149	10316149	7360799	71.5
GCF_041435135.1	Streptomyces sp. NBC_00280	NBC_00280	10711384	10398828	7479715	70
GCA_041435135.1	Streptomyces sp. NBC_00280	NBC_00280	10711384	10398828	7479715	70
GCF_036174265.1	Streptomyces sp. NBC_00285	NBC_00285	10309750	10263655	7229914	70
GCA_036174265.1	Streptomyces sp. NBC_00285	NBC_00285	10309750	10263655	7229914	70
GCF_036173125.1	Streptomyces sp. NBC_00286	NBC_00286	9853519	9853519	6849482	69.5
GCA_036173125.1	Streptomyces sp. NBC_00286	NBC_00286	9853519	9853519	6849482	69.5
GCF_036173105.1	Streptomyces sp. NBC_00287	NBC_00287	9642853	9642853	6765910	70
GCA_036173105.1	Streptomyces sp. NBC_00287	NBC_00287	9642853	9642853	6765910	70
GCF_041435115.1	Streptomyces sp. NBC_00289	NBC_00289	11001603	10626179	7742548	70.5
GCA_041435115.1	Streptomyces sp. NBC_00289	NBC_00289	11001603	10626179	7742548	70.5
GCF_026342255.1	Streptomyces sp. NBC_00291	NBC_00291	6200516	4208397	4449973	72
GCA_026342255.1	Streptomyces sp. NBC_00291	NBC_00291	6200516	4208397	4449973	72
GCF_036173045.1	Streptomyces sp. NBC_00299	NBC_00299	9730517	9507903	6858818	70.5
GCA_036173045.1	Streptomyces sp. NBC_00299	NBC_00299	9730517	9507903	6858818	70.5
GCF_036169715.1	Streptomyces sp. NBC_00304	NBC_00304	9077372	8797558	6436187	71
GCA_036169715.1	Streptomyces sp. NBC_00304	NBC_00304	9077372	8797558	6436187	71
GCF_026342275.1	Streptomyces sp. NBC_00305	NBC_00305	10235136	4193787	7218940	70.5
GCA_026342275.1	Streptomyces sp. NBC_00305	NBC_00305	10235136	4193787	7218940	70.5
GCF_036169555.1	Streptomyces sp. NBC_00306	NBC_00306	8499733	8499733	5987242	70.5
GCA_036169555.1	Streptomyces sp. NBC_00306	NBC_00306	8499733	8499733	5987242	70.5
GCF_036208085.1	Streptomyces sp. NBC_00310	NBC_00310	10667068	10667068	7558692	71
GCA_036208085.1	Streptomyces sp. NBC_00310	NBC_00310	10667068	10667068	7558692	71
GCF_036168855.1	Streptomyces sp. NBC_00311	NBC_00311	10527525	10527525	7416527	70.5
GCA_036168855.1	Streptomyces sp. NBC_00311	NBC_00311	10527525	10527525	7416527	70.5
GCF_036158715.1	Streptomyces sp. NBC_00316	NBC_00316	9468941	8786883	6615214	70
GCA_036158715.1	Streptomyces sp. NBC_00316	NBC_00316	9468941	8786883	6615214	70
GCF_026342235.1	Streptomyces sp. NBC_00320	NBC_00320	8295304	5450453	5961701	72
GCA_026342235.1	Streptomyces sp. NBC_00320	NBC_00320	8295304	5450453	5961701	72
GCF_036147535.1	Streptomyces sp. NBC_00322	NBC_00322	8572109	8572109	5964379	69.5
GCA_036147535.1	Streptomyces sp. NBC_00322	NBC_00322	8572109	8572109	5964379	69.5
GCF_036139655.1	Streptomyces sp. NBC_00328	NBC_00328	9971452	9971452	7057949	71
GCA_036139655.1	Streptomyces sp. NBC_00328	NBC_00328	9971452	9971452	7057949	71
GCF_036130235.1	Streptomyces sp. NBC_00334	NBC_00334	8346247	7883130	6021964	72
GCA_036130235.1	Streptomyces sp. NBC_00334	NBC_00334	8346247	7883130	6021964	72
GCF_036127095.1	Streptomyces sp. NBC_00335	NBC_00335	9002982	8706292	6456815	71.5
GCA_036127095.1	Streptomyces sp. NBC_00335	NBC_00335	9002982	8706292	6456815	71.5
GCF_026342195.1	Streptomyces sp. NBC_00338	NBC_00338	7833838	7285609	5588329	71.5
GCA_026342195.1	Streptomyces sp. NBC_00338	NBC_00338	7833838	7285609	5588329	71.5
GCF_026342205.1	Streptomyces sp. NBC_00340	NBC_00340	9180195	2718823	6557908	71.5
GCA_026342205.1	Streptomyces sp. NBC_00340	NBC_00340	9180195	2718823	6557908	71.5
GCF_041435055.1	Streptomyces sp. NBC_00341	NBC_00341	9063152	8775322	6426833	71
GCA_041435055.1	Streptomyces sp. NBC_00341	NBC_00341	9063152	8775322	6426833	71
GCF_036121075.1	Streptomyces sp. NBC_00342	NBC_00342	8949492	8501228	6343586	71
GCA_036121075.1	Streptomyces sp. NBC_00342	NBC_00342	8949492	8501228	6343586	71
GCF_036118775.1	Streptomyces sp. NBC_00343	NBC_00343	10725031	10725031	7518161	70
GCA_036118775.1	Streptomyces sp. NBC_00343	NBC_00343	10725031	10725031	7518161	70
GCF_036088315.1	Streptomyces sp. NBC_00344	NBC_00344	7063827	7001830	4899595	69.5
GCA_036088315.1	Streptomyces sp. NBC_00344	NBC_00344	7063827	7001830	4899595	69.5
GCF_026342175.1	Streptomyces sp. NBC_00347	NBC_00347	9657376	1180001	6923777	71.5
GCA_026342175.1	Streptomyces sp. NBC_00347	NBC_00347	9657376	1180001	6923777	71.5
GCF_036108815.1	Streptomyces sp. NBC_00353	NBC_00353	9848962	9848962	6837800	69.5
GCA_036108815.1	Streptomyces sp. NBC_00353	NBC_00353	9848962	9848962	6837800	69.5
GCF_036106915.1	Streptomyces sp. NBC_00354	NBC_00354	9087065	8827329	6495644	71.5
GCA_036106915.1	Streptomyces sp. NBC_00354	NBC_00354	9087065	8827329	6495644	71.5
GCF_036103115.1	Streptomyces sp. NBC_00356	NBC_00356	10384311	10384311	7315935	70.5
GCA_036103115.1	Streptomyces sp. NBC_00356	NBC_00356	10384311	10384311	7315935	70.5
GCF_036099295.1	Streptomyces sp. NBC_00358	NBC_00358	9299130	9299130	6601070	71
